card_1,card_2,weight
Academic Espionage,Amethyst Spellstone,1
Academic Espionage,Auchenai Soulpriest,1
Academic Espionage,Augmented Elekk,1
Academic Espionage,Battle Rage,1
Academic Espionage,Bloodmage Thalnos,1
Academic Espionage,Cheat Death,1
Academic Espionage,Cold Blood,1
Academic Espionage,Coldlight Oracle,1
Academic Espionage,Defile,1
Academic Espionage,Dread Corsair,1
Academic Espionage,Earthen Ring Farseer,1
Academic Espionage,Fire Plume Phoenix,1
Academic Espionage,Flamestrike,1
Academic Espionage,Flanking Strike,1
Academic Espionage,Ghost Light Angler,1
Academic Espionage,Glacial Shard,1
Academic Espionage,Gluttonous Ooze,1
Academic Espionage,Hot Spring Guardian,1
Academic Espionage,Lone Champion,1
Academic Espionage,Militia Commander,1
Academic Espionage,Mimic Pod,1
Academic Espionage,Mirror Image,1
Academic Espionage,Myra's Unstable Element,1
Academic Espionage,Obliterate,1
Academic Espionage,Omega Defender,1
Academic Espionage,Power Word: Shield,1
Academic Espionage,Raging Worgen,1
Academic Espionage,Rain of Toads,1
Academic Espionage,Razorpetal,1
Academic Espionage,Rotten Applebaum,1
Academic Espionage,Shadowstep,1
Academic Espionage,Sheep,1
Academic Espionage,Shield Block,1
Academic Espionage,Shooting Star,1
Academic Espionage,Soulfire,1
Academic Espionage,Southsea Deckhand,1
Academic Espionage,Stargazer Luna,1
Academic Espionage,Tidal Surge,1
Academic Espionage,Tortollan Shellraiser,1
Academic Espionage,Toxicologist,1
Academic Espionage,Tracking,1
Academic Espionage,Twilight's Call,1
Academic Espionage,Walk the Plank,1
Academic Espionage,Wandering Monster,1
Academic Espionage,Weapons Project,1
Academic Espionage,Woodcutter's Axe,1
Academic Espionage,Zilliax,1
Acherus Veteran,Academic Espionage,1
Acherus Veteran,Al'Akir the Windlord,1
Acherus Veteran,Amani Berserker,1
Acherus Veteran,Annoy-o-Module,1
Acherus Veteran,Arcane Keysmith,1
Acherus Veteran,Arcane Shot,1
Acherus Veteran,Auchenai Soulpriest,1
Acherus Veteran,Bearshark,1
Acherus Veteran,Blessing of Wisdom,1
Acherus Veteran,Blink Fox,1
Acherus Veteran,Blood Razor,1
Acherus Veteran,Bloodsail Raider,1
Acherus Veteran,Cavern Shinyfinder,1
Acherus Veteran,Circle of Healing,1
Acherus Veteran,Clockwork Automaton,1
Acherus Veteran,Cold Blood,1
Acherus Veteran,Coppertail Imposter,1
Acherus Veteran,Corrosive Sludge,1
Acherus Veteran,Cosmic Anomaly,1
Acherus Veteran,Crushing Hand,1
Acherus Veteran,Crypt Lord,1
Acherus Veteran,Doomguard,1
Acherus Veteran,Dragonmaw Scorcher,1
Acherus Veteran,Dread Infernal,1
Acherus Veteran,Eaglehorn Bow,1
Acherus Veteran,Earth Shock,1
Acherus Veteran,Elven Archer,1
Acherus Veteran,Eviscerate,1
Acherus Veteran,Explodinator,1
Acherus Veteran,Fen Creeper,1
Acherus Veteran,Fire Plume Phoenix,1
Acherus Veteran,Fireball,1
Acherus Veteran,Firetree Witchdoctor,1
Acherus Veteran,Freezing Trap,1
Acherus Veteran,Frog,1
Acherus Veteran,Furious Ettin,1
Acherus Veteran,Giant Mastodon,1
Acherus Veteran,Giant Wasp,1
Acherus Veteran,Gnomeferatu,1
Acherus Veteran,Hallucination,1
Acherus Veteran,Harvest Golem,1
Acherus Veteran,Houndmaster,1
Acherus Veteran,Igneous Elemental,1
Acherus Veteran,Kaboom Bot,1
Acherus Veteran,Kobold Apprentice,1
Acherus Veteran,Kobold Librarian,1
Acherus Veteran,Lone Champion,1
Acherus Veteran,Loot Hoarder,1
Acherus Veteran,Lyra the Sunshard,1
Acherus Veteran,Mad Bomber,1
Acherus Veteran,Mana Tide Totem,1
Acherus Veteran,Mecharoo,1
Acherus Veteran,Meteor,1
Acherus Veteran,Microtech Controller,1
Acherus Veteran,Mirror Entity,1
Acherus Veteran,Mountain Giant,1
Acherus Veteran,Myra's Unstable Element,1
Acherus Veteran,Noble Sacrifice,1
Acherus Veteran,Plated Beetle,1
Acherus Veteran,Preparation,1
Acherus Veteran,Primalfin Totem,1
Acherus Veteran,Raging Worgen,1
Acherus Veteran,Rockpool Hunter,1
Acherus Veteran,Saronite Taskmaster,1
Acherus Veteran,Savannah Highmane,1
Acherus Veteran,Shield Block,1
Acherus Veteran,Shiv,1
Acherus Veteran,Silver Hand Recruit,1
Acherus Veteran,Southsea Captain,1
Acherus Veteran,Southsea Deckhand,1
Acherus Veteran,Spellbreaker,1
Acherus Veteran,Spider Bomb,1
Acherus Veteran,Stargazer Luna,1
Acherus Veteran,Storm Chaser,1
Acherus Veteran,Stubborn Gastropod,1
Acherus Veteran,Swift Messenger,1
Acherus Veteran,Tanglefur Mystic,1
Acherus Veteran,Tol'vir Stoneshaper,1
Acherus Veteran,Tortollan Forager,1
Acherus Veteran,Tuskarr Fisherman,1
Acherus Veteran,Unleash the Hounds,1
Acherus Veteran,Voidwalker,1
Acherus Veteran,Volatile Elemental,1
Acherus Veteran,Voodoo Doctor,1
Acherus Veteran,Witchwood Grizzly,1
Acidic Swamp Ooze,Animal Companion,1
Acidic Swamp Ooze,Annoy-o-Module,1
Acidic Swamp Ooze,Arcane Explosion,1
Acidic Swamp Ooze,Arena Fanatic,1
Acidic Swamp Ooze,Astral Rift,1
